DEFINIENDUM,GENUS,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_SIZE,SENTENCE 
carbonate,rock,,,,,,"carbonate: A rock consisting mainly of carbonate minerals, such as limestone or dolomite."
cave,room,generally formed by solution of limestone|natural,room or series of rooms and passages,,underground,large enough to be entered by a man,cave: A natural underground room or series of rooms and passages large enough to be entered by a man; generally formed by solution of limestone.
cave breakdown,Enlargement,by fall of rock masses from walls and ceiling,,,,,cave breakdown: Enlargement of parts of a cave system by fall of rock masses from walls and ceiling.
cave breakdown,Heaps of rock,have collapsed from the walls and ceiling of a cave,,,,,"cave breakdown: Heaps of rock that have collapsed from the walls and ceiling of a cave, generally called cave breccia."
cave breccia,fragments of rock,either cemented together by dripstone or in a matrix of cave earth,Angular,forming a fill in a cave,in a cave,,"cave breccia: Angular fragments of rock forming a fill in a cave, either cemented together by dripstone or in a matrix of cave earth. See also solution breccia. in a cave"
cave coral,,,resembling coral in shape|rough knobby,,"found on floor , walls , or ceiling of a cave",generally small,"cave coral: A rough, knobby growth of calcite resembling coral in shape, generally small; found on floor, walls, or ceiling of a cave. Synonym, coral formation. See also knobstone. calcite"
coral formation,,,resembling coral in shape|rough knobby,,"found on floor , walls , or ceiling of a cave",generally small,"cave coral: A rough, knobby growth of calcite resembling coral in shape, generally small; found on floor, walls, or ceiling of a cave. Synonym, coral formation. See also knobstone. calcite"
cave earth,deposits,,,flooring or filling a cave passage,,,"cave earth, cave fill: Insoluble deposits of clay, silt, sand, or gravel flooring or filling a cave passage. In a more restricted sense, cave earth includes only the finer fractions: clay, silt, and fine sand deposits."
cave fill,deposits,,,flooring or filling a cave passage,,,"cave earth, cave fill: Insoluble deposits of clay, silt, sand, or gravel flooring or filling a cave passage. In a more restricted sense, cave earth includes only the finer fractions: clay, silt, and fine sand deposits."
oulo - pholite,deposit,,in which growth occurs at the attached end|elongate curved,,on a cave wall,,"cave flower: An elongate curved deposit of gypsum or epsomite on a cave wall in which growth occurs at the attached end. Synonyms, gypsum flower; oulo - pholite."
cave flower,deposit,,in which growth occurs at the attached end|elongate curved,,on a cave wall,,"cave flower: An elongate curved deposit of gypsum or epsomite on a cave wall in which growth occurs at the attached end. Synonyms, gypsum flower; oulo - pholite."
gypsum flower,deposit,,in which growth occurs at the attached end|elongate curved,,on a cave wall,,"cave flower: An elongate curved deposit of gypsum or epsomite on a cave wall in which growth occurs at the attached end. Synonyms, gypsum flower; oulo - pholite."
cave formation,deposit,"formed by the accumulation , dripping , or flowing of water",,,in a cave,,"cave formation: Secondary mineral deposit formed by the accumulation, dripping, or flowing of water in a cave. See also speleothem."
cave group,number of caves|cave systems,,,,,,"cave group: A number of caves or cave systems, not interconnected but geographically associated in some relief feature or particular geological outcrop. See also cave series."
cave guano,,"Accumulations of dung in caves , generally from bats",in some places partially mineralized,,in caves,,"cave guano: Accumulations of dung in caves, generally from bats; in some places partially mineralized. in caves"
cave ice,Ice,formed in a cave by natural freezing of water,,,in a cave,,cave ice: Ice formed in a cave by natural freezing of water. Loosely but incorrectly applied to calcium carbonate dripstone and flowstone. in a cave
cave-in,,The collapse of the ceiling or side walls of a cave or of the land surface into a subterranean passage as a result of undermining or of pressure from above,,,,,cave-in: The collapse of the ceiling or side walls of a cave or of the land surface into a subterranean passage as a result of undermining or of pressure from above.
cave marble,deposit,,Banded,capable of taking a high polish,,,cave marble: Banded deposit of calcite or aragonite capable of taking a high polish. See also flowstone; onyx marble.
cave pearl,concretion,formed by concentric precipitation around a nucleus,,,,Small,"cave pearl: Small concretion of calcite or aragonite formed by concentric precipitation around a nucleus. Synonyms, pisolite, pisolith."
pisolite pisolith,concretion,formed by concentric precipitation around a nucleus,,,,Small,"cave pearl: Small concretion of calcite or aragonite formed by concentric precipitation around a nucleus. Synonyms, pisolite, pisolith."
cave series,group of caves,,,,in a particular district,,cave series: A group of caves of similar morphology in a particular district. See also cave group.
cave spring,spring,,,,"in a cave , cave system",,"cave spring: A spring rising in a cave, cave system."
cave spring,,,,,underground,,"cave spring: An underground network of passages, chambers, or other cavities."
cavern,cave,,,,,larger-than-average size,"cavern: A cave, often used poetically or to connote larger-than-average size."
ceiling block,block,,joint - bounded|cubical,,,large,"ceiling block: Roughly cubical joint - bounded large block, which has fallen from the ceiling of a cave. See also cave breakdown; ceiling slab."
ceiling cavity,concavity,Solutional,,,in the ceiling of a cave,,ceiling cavity: Solutional concavity in the ceiling of a cave. The orientation is determined by joints or a bedding plane.
ceiling meander,,,winding upside-down channel,,in a cave ceiling,,ceiling meander: A winding upside-down channel in a cave ceiling.
ceiling slab,piece of rock,that has fallen from the ceiling of a cave in roughly horizontal limestone,thin,,,extensive,"ceiling slab, roof slab: A thin but extensive piece of rock that has fallen from the ceiling of a cave in roughly horizontal limestone. See also cave breakdown; ceiling block."
roof slab,piece of rock,that has fallen from the ceiling of a cave in roughly horizontal limestone,thin,,,extensive,"ceiling slab, roof slab: A thin but extensive piece of rock that has fallen from the ceiling of a cave in roughly horizontal limestone. See also cave breakdown; ceiling block."
ceiling tube,tube,,,,remaining in the ceiling of a cave,,ceiling tube: A half tube remaining in the ceiling of a cave.
cenote,well,caused by collapse of a cave roof|natural,Steep-walled,,extends below the water tabl,,cenote: Steep-walled natural well that extends below the water tabl?; generally caused by collapse of a cave roof. Term used only for features in Yucatan. See also natural well.
chalk,limestone,,Soft poorly indurated,,in a matrix of verv finely crystalline calcite,,"chalk: Soft poorly indurated limestone, generally light in color; commonly composed of the tests of floating microorganisms in a matrix of verv finely crystalline calcite."
chamber,cavity,,,,in a cave or cave system,considerable length and breadth but not necessarily great height|The largest,chamber: The largest order of cavity in a cave or cave system; it has considerable length and breadth but not necessarily great height.
chasm,breach,,fairly narrow|deep,,in the earth's surface,,"chasm: A deep, fairly narrow breach in the earth's surface; an abyss; a gorge; a deep canyon."
chimney,shaft,,A narrow vertical shaft,,in the roof of a cave,generally smaller than an aven,"chimney: A narrow vertical shaft in the roof of a cave, generally smaller than an aven; a dome pit."
chockstone,rock,,,,wedged between the walls of a cave passage,,chockstone: A rock wedged between the walls of a cave passage.
choke,debris,,,completely blocking a passage,,,choke: Rock debris or cave fill completely blocking a passage.
chute,channel trough,,inclined channel or trough,,in a cave,,chute: An inclined channel or trough in a cave.
clay fill,clay,,,that fills a cave passage,,,clay fill: Dry or wet clay that fills a cave passage.
clay filling,time interval,,,,,,"clay filling: According to Bretz, time interval between end of phreatic solution of a cave and beginning of deposition of flowstone."
clint,Slabs,,"Widened joints , or grikes , isolate individual clints",forming a pavement,parallel to the bedding,,"clint: Slabs of limestone, parallel to the bedding, forming a pavement. Widened joints, or grikes, isolate individual clints. Synonym, Flachkarren."
Flachkarren,Slabs,,"Widened joints , or grikes , isolate individual clints",forming a pavement,parallel to the bedding,,"clint: Slabs of limestone, parallel to the bedding, forming a pavement. Widened joints, or grikes, isolate individual clints. Synonym, Flachkarren."
closed depression,topographic basin,,enclosed,having no external drainage,,,"closed depression: A general term for any enclosed topographic basin having no external drainage, regardless of origin or size. enclosed"
cockpit,depression,,having a conical or slightly concave floor|star-shaped,,Cockpits are the common type of closed depressions in a Kegelkarst,,cockpit: A star-shaped depression having a conical or slightly concave floor. The surrounding hill slopes are steep and convex. Cockpits are the common type of closed depressions in a Kegelkarst.
cockpit karst,karst topography,,,,Tropical,,cockpit karst: Tropical karst topography containing many closed depressions surrounded by conical hills. Divided by French and German geographers into several types depending on shape of hills. See also cone karst; Halbkugel - karst; Kegelkarst; Spitzkegelkarst; tower karst.
collapse breccia,mass of rock,"has formed as the result of the collapse of the roof of a cave , of an underlying cave , or of an overhanging ledge",,,,,"collapse breccia: A mass of rock composed of angular to rounded fragments of limestone or dolomite that has formed as the result of the collapse of the roof of a cave, of an underlying cave, or of an overhanging ledge. See also solution breccia."
collapse sink,closed depression,formed by the collapse of tie roof of a cave,closed,,,,collapse sink: A closed depression formed by the collapse of tie roof of a cave. See also doline.
conduit,stream course,,,,subterranean,,conduit: A subterranean stream course filled completely with water and always under hydrostatic pressure. See also siphon.
cone karst,karst topography,,characterized by star-shaped depressions,,at the feet of many steep-sided core-shaped hills|common in the tropicr,,"cone karst: A type of karst topography, common in the tropicr. characterized by star-shaped depressions at the feet of many steep-sided core-shaped hills. A variety of Kegelkarst. See also cockpit karst."
constructive waterfall,dam,,,,on a surface stream,large,constructive waterfall: A large rimstone dam on a surface stream. dam
conulite,speleothem,"Subsequent erosion may remove the mud , isolating the calcite lining of the depression|formed when a conical depression is drilled in cave mud by falling water","hollow , cone-shaped",,,,"conulite: A hollow, cone-shaped speleothem formed when a conical depression is drilled in cave mud by falling water. Subsequent erosion may remove the mud, isolating the calcite lining of the depression. calcite"
corridor,passage,,level and straight,links two or more rooms or chambers in a cave,in a cave,,corridor: A fairly level and straight passage that links two or more rooms or chambers in a cave. in a cave
corridor,,,Intersecting linear depressions,,on the surface of the land,,"corridor: Intersecting linear depressions on the surface of the land, related to joints or dikes. See also bogaz; struga; zanjon."
corrosion,Erosion,by solution or chemical action,,,,,corrosion: Erosion by solution or chemical action. See also corrasion.
corrasion,Erosion,by solution or chemical action,,,,,corrosion: Erosion by solution or chemical action. See also corrasion.
cove,karst valley,,Narrow steep-sided,,flanking limestone plateaus,,cove: Narrow steep-sided karst valley flanking limestone plateaus. limestone plateaus
covered karst :,terrain,resulting from the development of solution features in limestone covered by soil,,,subdued,,"covered karst: A terrain of karst features, usually subdued, resulting from the development of solution features in limestone covered by soil; contrasted with naked karst, which is soil free. See also buried karst."
crawl,passage,,crescentic wall niche,,,that must be negotiated on hands and knees,"crawl, crawlway: A cave passage that must be negotiated on hands and knees, crescentic wall niche. See meander niche."
crawlway,passage,,crescentic wall niche,,,that must be negotiated on hands and knees,"crawl, crawlway: A cave passage that must be negotiated on hands and knees, crescentic wall niche. See meander niche."
crevice karst,,has formed by solution widening of closely spaced joints,intricate irregular,,near rivers,Crevices may be as much as 6 meters across and 20 meters deep,crevice karst: An intricate irregular crevice system that has formed by solution widening of closely spaced joints. Crevices may be as much as 6 meters across and 20 meters deep. Especially well developed near rivers in lowland New Guinea.
crust stone,flowstone,,looks like a flaky crust,,covering portions of walls of caves,,crust stone: A fragile layer of flowstone covering portions of walls of caves; looks like a flaky crust. Found in some Kentucky caves.
crystal cave,cave,,,,,,"crystal cave: A cave in which much of the surface of the roof, walls, and floor is covered with well-formed mineral crystals."
crystal pool,pool,,,generally having little or no overflow,In caves,,"crystal pool: In caves a pool, generally having little or no overflow, containing crystals."
dead end,passage,,having only one entry,,subterranean,,"cul-de-sac, dead end: A subterranean passage having only one entry."
cul-de-sac,passage,,having only one entry,,subterranean,,"cul-de-sac, dead end: A subterranean passage having only one entry."
Cupole Halb-kugel,hill,,A hemispheric hill,,,,cupola: A hemispheric hill of limestone. Cupole. Halb-kugel.
cupola,hill,,A hemispheric hill,,,,cupola: A hemispheric hill of limestone. Cupole. Halb-kugel.
current marking,hollows,caused by turbulent waterflow,Shallow asymmetrical,,distributed in rather regular fashion over limestone surfaces,,"current marking: Shallow asymmetrical hollows, caused by turbulent waterflow, that are distributed in rather regular fashion over limestone surfaces. See also scallop."
scallop,hollows,caused by turbulent waterflow,Shallow asymmetrical,,distributed in rather regular fashion over limestone surfaces,,"current marking: Shallow asymmetrical hollows, caused by turbulent waterflow, that are distributed in rather regular fashion over limestone surfaces. See also scallop."
curtain bacon blanket,,,wavy or folded sheet of flowstone|often translucent and resonant,,hanging from the roof or projecting from the wall of a cave,,curtain: A wavy or folded sheet of flowstone hanging from the roof or projecting from the wall of a cave; often translucent and resonant. See also bacon; blanket; drapery.
drapery,,,wavy or folded sheet of flowstone|often translucent and resonant,,hanging from the roof or projecting from the wall of a cave,,curtain: A wavy or folded sheet of flowstone hanging from the roof or projecting from the wall of a cave; often translucent and resonant. See also bacon; blanket; drapery.
cutter,,,Solution crevice in limestone,,underlying residual phosphate deposits,,cutter: Solution crevice in limestone underlying residual phosphate deposits.
subsoil Karren,groove,,Karren-like,,formed beneath the soil,,"cutter: A Karren-like groove formed beneath the soil, more commonly referred to as subsoil Karren. See also Karren."
cutter,groove,,Karren-like,,formed beneath the soil,,"cutter: A Karren-like groove formed beneath the soil, more commonly referred to as subsoil Karren. See also Karren."
Karren,groove,,Karren-like,,formed beneath the soil,,"cutter: A Karren-like groove formed beneath the soil, more commonly referred to as subsoil Karren. See also Karren."
dead cave,cave,in which all solution and precipitation has cersed,,,,,dead cave: A dry cave in which all solution and precipitation has cersed.
doline,hollow,formed mainly by direct solution of the limestone surface zone|formed by collapse over a cave,Some dolines are gentle grassy hollows ; others are rocky cliff-bounded basins|basin - or funnel-shaped,,,ranging in diameter from a few meters to a kilometer|in depth from a few to several hundred meters,"doline: A basin - or funnel-shaped hollow in limestone, ranging in diameter from a few meters to a kilometer and in depth from a few to several hundred meters. Some dolines are gentle grassy hollows; others are rocky cliff-bounded basins. A distinction may be made between those formed mainly by direct solution of the limestone surface zone, solution dolines, and those formed by collapse over a cave, collapse dolines, but it is generally not possible to establish the origin of individual examples."
doline lake,karst lake,,,,occupying a doline,small,doline lake: A small karst lake occupying a doline.
dolomite,mineral,,,,,,dolomite: A mineral composed of calcium magnesium carbonate.
dolomite dolostone,Rock,,,,,,dolomite: Rock chiefly composed of the mineral dolomite. Also called dolostone.
dolomitization,process,by the substitution of magnesium carbonate for part of the original calcium carbonate,,whereby limestone becomes dolomite,,,dolomitization: The process whereby limestone becomes dolomite by the substitution of magnesium carbonate for part of the original calcium carbonate.
curtain bacon blanket,sheet,,thin sheet,,,,"drapery: A thin sheet of dripstone, equivalent to curtain. See also bacon; blanket."
drapery,sheet,,thin sheet,,,,"drapery: A thin sheet of dripstone, equivalent to curtain. See also bacon; blanket."
driphole,Hole,produced by fast-dripping water,,,,,driphole: Hole in rock or clay produced by fast-dripping water.
driphole,Hollow space,,Hollow,,"surrounded by precipitated material , such as the bottom of a stalactite",,"driphole: Hollow space surrounded by precipitated material, such as the bottom of a stalactite. space"
dripstone flowstone,Calcium carbonate,deposited from water dripping from the ceiling or wall of a cave or from the overhanging edge of a rock shelter,,,,,"dripstone: Calcium carbonate deposited from water dripping from the ceiling or wall of a cave or from the overhanging edge of a rock shelter; commonly refers to the rock in stalactites, stalagmites, and other similar speleothems; in some places composed of aragonite or gypsum. See also flowstone. Calcium carbonate rock shelter"
dry cave,cave,,,,,,dry cave: A cave without a running stream. See also dead cave. stream
dry valley,valley,,lacks a surface water channel,,,,dry valley: A valley that lacks a surface water channel; common in the chalk of southern England.
epiphreatic zone,zone,affected morphologically and hydrologically by floods,,,in a cave system|above the phreatic zone,,"epiphreas, epiphreatic zone: The zone in a cave system, immediately above the phreatic zone, affected morphologically and hydrologically by floods too large for the cave to absort at once."
epiphreas,zone,affected morphologically and hydrologically by floods,,,in a cave system|above the phreatic zone,,"epiphreas, epiphreatic zone: The zone in a cave system, immediately above the phreatic zone, affected morphologically and hydrologically by floods too large for the cave to absort at once."
estavelle,,,,May act alternatively as a swallow hole and as a rising according to ground-water conditions|intermittent resurgence or exsurgence,,,"estavelle: An intermittent resurgence or exsurgence, active only in wet seasons. May act alternatively as a swallow hole and as a rising according to ground-water conditions."
exhumed karst,Karst,reexposed by erosion from bene ? th former covering strata,,,,,exhumed karst: Karst features reexposed by erosion from bene? th former covering strata.
fault cave,cave,,,,developed along a fault or fault zone,,fault cave: A cave developed along a fault or fault zone.
fissure cave,cave,,narrow vertical,,along a fissure,,fissure cave: A narrow vertical cave or cave passage along a fissure. Fissures widen out to become wells or shaft caves.
flattener,cave passage,,"though wide , is so low that movement is only possible in a prone position",,,,"flattener: A cave passage, which though wide, is so low that movement is only possible in a prone position. See also crawl."
crawl,cave passage,,"though wide , is so low that movement is only possible in a prone position",,,,"flattener: A cave passage, which though wide, is so low that movement is only possible in a prone position. See also crawl."
floe calcite,calcium carbonate,,Very thin film,,floating on the surface of a subterranean pool of very calm water,,floe calcite: Very thin film of pure calcium carbonate floating on the surface of a subterranean pool of very calm water. thin film
flowstone,Deposits,on the walls or floors of caves,,,,,"flowstone: Deposits of calcium carbonate, gypsum, and other mineral matter which have accumulated on the walls or floors of caves at places where water trickles or flows over the rock. See also dripstone."
fluviokarst,karst,past or present fluvial activity,,,,,fluviokarst: A predominantly karst landscape in which there is much evidence of past or present fluvial activity.
foiba,vertical cavity,,deep wide vertical cavity,the swallow point of a river at the beginning of its underground course,,,foiba: A deep wide vertical cavity or the swallow point of a river at the beginning of its underground course.
foiba,vertical shaft,,tending toward cylindrical shape|vertical shaft,,may or may not reach the surface,,"foiba: A natural vertical shaft in soluble rock, tending toward cylindrical shape; it may or may not reach the surface. A dome pit."
fungling,hill,,Isolated,,in alluvial plain,,"fungling: Isolated limestone hill in alluvial plain, probably similar to mogote."
gallery,horizontal passage,,nearly horizontal,,in a cave,rather large,"gallery: A rather large, nearly horizontal passage in a cave."
glaciokarst,region,,,,,,glaciokarst: A glaciated limestone region possessing both glacial and karst characteristics.
glade,depression,,"elongate depression , having steep sides , in which a generally flat floor is divided into small basins separated by low divides",,,,"glade: An elongate depression, having steep sides, in which a generally flat floor is divided into small basins separated by low divides."
glade,,,,,,,glade: Limestone pavement having extensive growth of cedar trees.
grike gryke,fissure,developed by solution,vertical or subvertical fissure,,along a joint,,"grike, gryke: A vertical or subvertical fissure in a limestone pavement developed by solution along a joint. Synonym: Kluftkarren."
Kluftkarren,fissure,developed by solution,vertical or subvertical fissure,,along a joint,,"grike, gryke: A vertical or subvertical fissure in a limestone pavement developed by solution along a joint. Synonym: Kluftkarren."
grotto,cave,natural or artificial,,,,small,"grotto: A small cave, natural or artificial."
grotto,room,,,,in a cave system,of moderate dimensions,"grotto: A room, in a cave system, of moderate dimensions but richly decorated."
gulf,depression,,Steep-walled closed depression having a flat alluviated bottom,,,,gulf: Steep-walled closed depression having a flat alluviated bottom; in some gulfs a stream flows across the bottom.
gypsum,mineral,,,,,,gypsum: A mineral composed of hydrous calcium sulfate.
Halbkugelkarst Kugelkarst,karst,,,,,,"Halbkugelkarst: Tropical karst topography containing domeshaped residual hills surrounding depressions, a kind of Kegelkarst. Also called Kugelkarst."
half-blind valley,valley,when the swallow hole can not accep t all the water,,in which the stream overflows in floodtirae,,,half-blind valley: Blind valley in which the stream overflows in floodtirae when the swallow hole can not accep t all the water.
half tube,,,,,in the roof or wall of a cave,,half tube: Trace of a tube remaining in the roof or wall of a cave.
hall,chamber,,a lofty chamber,,In a cave,much longer than it is wide,"hall: In a cave, a lofty chamber which is much longer than it is wide."
hanging blade,blade,,projecting down from the ceiling,,,,hanging blade: A blade projecting down from the ceiling.
haystack hill,hill,developed as a result of solution,rounded conical hill,,In the tropics,,"haystack hill: In the tropics, rounded conical hill of limestone developed as a result of solution. Term being replaced by mogote."
mogote,hill,developed as a result of solution,rounded conical hill,,In the tropics,,"haystack hill: In the tropics, rounded conical hill of limestone developed as a result of solution. Term being replaced by mogote."
eccentric stalactite,,,curved or angular twiglike lateral projection|having a tiny central canal,,found in caves,,"helictite: A curved or angular twiglike lateral projection of calcium carbonate having a tiny central canal, found in caves. Synonym: eccentric stalactite."
helictite,,,curved or angular twiglike lateral projection|having a tiny central canal,,found in caves,,"helictite: A curved or angular twiglike lateral projection of calcium carbonate having a tiny central canal, found in caves. Synonym: eccentric stalactite."
heligmite,stalagmite,,curved or angular thin stalagmite,,growing upward from a cave floor or from a shelf in a cave,,heligmite: An eccentric growing upward from a cave floor or from a shelf in a cave. A curved or angular thin stalagmite.
holokarst,karst,,,have little or no surface drainage,that extend below sea level,,"holokarst: Cvijić's term for a karst area like that of the Dinaric Karst of Slovenia. Such areas have bare surfaces on thick deposits of limestone that extend below sea level, well-developed Karren, dolines, uvalas, poljes, deep ponors, and extensive cave systems; they have little or no surface drainage."
Karst inselberg,hill,,,,on a fairly level floor,,"hum: Karst inselberg. Residual hill of limestone on a fairly level floor, such as the isolated hills of limestone in poljes. In some tropical areas, used loosely as synonym for mogote."
hum,hill,,,,on a fairly level floor,,"hum: Karst inselberg. Residual hill of limestone on a fairly level floor, such as the isolated hills of limestone in poljes. In some tropical areas, used loosely as synonym for mogote."
mogote,hill,,,,on a fairly level floor,,"hum: Karst inselberg. Residual hill of limestone on a fairly level floor, such as the isolated hills of limestone in poljes. In some tropical areas, used loosely as synonym for mogote."
ice cave,cave,,,,,,"ice cave: A cave, generally in lava or limestone, in which the average temperature is below 0 ° C., and which ordinarily contains perennial ice. Ice may have the form of stalactites, stalagmites, or flowstone."
Sanidine,mineral,,,,,,"Sanidine is a typical rock-forming mineral of K-rich alkaline volcanic rocks and a principal rock-forming mineral of Kožuf 6.5 - 1.8 Ma old volcanic rocks (Boev & Jelenković, 2012)."
Smectite,mineral,product of intensive acidic weathering of volcaniclastic material,,,,,"Smectite (montmorillonite) is a layered clay mineral, product of intensive acidic weathering of volcaniclastic material."
montmorillonite,mineral,product of intensive acidic weathering of volcaniclastic material,,,,,"Smectite (montmorillonite) is a layered clay mineral, product of intensive acidic weathering of volcaniclastic material."
Input caves,,,,,developed along faults and prominent fractures|leading to epiphreatic tube passages,,"Input caves are either shafts developed along faults and prominent fractures (Živovska Propast, Dragoželska Propast) or vadose canyons leading to epiphreatic tube passages (Aramiska Peštera, Garnikovska Propast, Mala Peštera and Pešti Cave)."
juvenile pattern,pattern,,,,,,The juvenile pattern is a time-controlled pattern that prevails where soluble rocks are exposed by uplift and by removal of any impermeable cover.
Smaller scale forms in caves,features,,,,,smaller than the passage diameter|Smaller scale forms,"Smaller scale forms in caves (microforms) are features much smaller than the passage diameter (Lauritzen & Lundberg, 2000). passage"
microforms,features,,,,,smaller than the passage diameter|Smaller scale forms,"Smaller scale forms in caves (microforms) are features much smaller than the passage diameter (Lauritzen & Lundberg, 2000). passage"
hydrological cycle,,because water is the solvent that dissolves carbonate rocks and then carries the ions away in solution,,primary source of energy for karst formation,,,"As a consequence, the hydrological cycle provides the primary source of energy for karst formation because water is the solvent that dissolves carbonate rocks and then carries the ions away in solution (Williams P.W., 2004)."
Hard data,"long-term , measured time series|information on individual processes",,,,,,"Hard data are defined as long-term, measured time series, typically at a point within a watershed, while soft data are defined as information on individual processes within a budget that may not be directly measured within the study area, generally from literature information."
soft data,"long-term , measured time series|information on individual processes",,,,,,"Hard data are defined as long-term, measured time series, typically at a point within a watershed, while soft data are defined as information on individual processes within a budget that may not be directly measured within the study area, generally from literature information."
step-wise calibration,procedure,,,allowed calibrating the different components of the streamflow according to different hydrologic processes,,,The step-wise calibration is a procedure that allowed calibrating the different components of the streamflow according to different hydrologic processes underpinning Pagliero et al.
Karst,space medium,,,,,,"Karst is a very heterogeneous space medium which can be explained only be applying a great number of measurement points and by monitoring and measuring various phenomena: the water levels, water discharge and velocity, chemical composition of water, its temperature, concentration of suspended particles and the microorganisms in water."
secondary porosity,spaces,,,,created in carbonate rocks in the post-petrification period,,The term secondary porosity is used for the spaces created in carbonate rocks in the post-petrification period. in the post-petrification period
Gravitational water,water,"due to gravity , penetrates and flows into the underground system",,,,,"Gravitational water is the water, which due to gravity, penetrates and flows into the underground system."
Storage coefficient,volume of water,,,,,,"Storage coefficient, S, is the volume of water released from the prism of a unit cross-sectional area whose height is the total thickness of the aquifer due to change in the piezometric level for 1 m."
Specific yield,change in the water quantity,,,,,,Specific yield is defined as the change in the water quantity in the storage per unit of area of the free surface of the aquifer.
Permeability,property of rocks,,,,,,"Permeability, K, is the property of rocks forming an underground reservoir, to allow water to flow with an appreciable velocity due to the existence of the pressure gradient."
Surface karst forms,,,,,,,"Surface karst forms are: karren, sinkholes (dolines), dry valleys and poljes (Vlahovic 1983)."
inflow cave,Cave,,,into which a stream flews or formerly entered,,,"inflow cave, influent cave: Cave into which a stream flews or formerly entered."
influent cave,Cave,,,into which a stream flews or formerly entered,,,"inflow cave, influent cave: Cave into which a stream flews or formerly entered."
jama abime,Vertical,,Vertical or steeply inclined shaft,,,,"jama: Vertical or steeply inclined shaft in limestone, known as abime or aven in France and as pothole in England."
aven pothole,Vertical,,Vertical or steeply inclined shaft,,,,"jama: Vertical or steeply inclined shaft in limestone, known as abime or aven in France and as pothole in England."
joint-plane cave,cavity,,,,developed along steeply dipping joint planes,high in relation to width,joint-plane cave: A cavity high in relation to width developed along steeply dipping joint planes.
Karren,Channels furrows,caused by solution,Channels or furrows|separated by ridges,,,vary in depth from a few millimeters to more than a meter,"Karren: Channels or furrows, caused by solution on massive bare limestone surfaces; they vary in depth from a few millimeters to more than a meter and are separated by ridges."
Rillenkarren,Karren,,shallow channels separated by sharp ridges,,,2 - 3 centimeters apart,"Rillenkarren: Type of Karren, shallow channels separated by sharp ridges 2 - 3 centimeters apart."
Rinnenkarren,Karren,,flat-bottomed grooves,,,several centimeters apart,"Rinnenkarren: Type of Karren, flat-bottomed grooves several centimeters apart."
Kluftkarren,Karren,joints enlarged by solution,,,,,Kluftkarren: Type of Karren; joints enlarged by solution.
Spitzkarren,Karren,,,,extending down from steep spires or pinnacles,large deep grooves,"Spitzkarren: Type of Karren, large deep grooves extending down from steep spires or pinnacles."
Meanderkarren,Karren,,winding or meandering channels,,,small,"Meanderkarren: Type of Karren, small winding or meandering channels."
Rundkarren,Karren,reexhumed after formation under soil or peat,having rounded channels and intervening rounded ridges,,,,"Rundkarren: Karren having rounded channels and intervening rounded ridges, probably reexhumed after formation under soil or peat."
Fachkarren,Karren,,,,,,"Fachkarren: Type of Karren, equivalent to English clint."
Bodenkarren,Karren,,,,formed beneath the soil,,"Bodenkarren: Karren formed beneath the soil. Synonym, lapils."
Karrenfeld,,,,,,,Karrenfeld: An area of limestone dominated by Karren.
karst,terrain,formed by the dissolving of rock,,,,,"karst: A terrain, generally underlain by limestone, in which the topography is chiefly formed by the dissolving of rock, and which is commonly characterized by Karren, closed depressions, subterranean drainage, and caves. See also buried karst; cone karst; covered karst; exhumed karst; Halbkugelkarst; holokarst; Kegel - karst; merokarst; microkarst; naked karst; paleokarst; pseudokarst; Spitz - kegelkarst; subjacent karst; syngenetic karst; thermokarst; tower karst."
karst barre,karst,,,,,,karst barre: A karst of limited area completely surrounded by rocks of low permeability.
karst base level,,,,karstification does not take place,,,karst base level: Level below which karstification does not take place.
karst bridge,,natural,bridge or arch,,,,karst bridge: A natural bridge or arch in limestone.
karst fens,,,,,developed in sinkhole terrain,,karst fens: Marshes developed in sinkhole terrain; swampy solution fens.
karst lake,,,,,in extensive closed depression,,karst lake: A large area of standing water in extensive closed depression in limestone.
karst margin plain,plain,,plain,"having a cover of impervious detritus , which allows surface drainage",,,"karst margin plain: A plain generally on limestone between higher country of limestone on one side and of less pervious rocks on the other, but having a cover of impervious detritus, which allows surface drainage. Synonym, Karstrandebene. on"
karst plain,plain,,plain,,,,"karst plain: A plain on which closed depressions, subterranean drainage, and other karst features may be developed. Also called karst plateau."
karst pond,Closed depression,,Closed depression,,in a karst area,,karst pond: Closed depression in a karst area containing standing water.
karst river,river,originates from a karst spring,,,,,karst river: A river that originates from a karst spring.
karst spring,spring,,,,emerging from karstified limestone,,karst spring: A spring emerging from karstified limestone.
karst topography,Topography,,,,,,karst topography: Topography dominated by features of solutional origin.
karst valley,valley,solution,Elongate,,,,karst valley: Elongate solution valley.
karst valley,Valley,produced by collapse of a cavern roof,,,,,karst valley: Valley produced by collapse of a cavern roof.
karst window,Depression,,,"revealing a part of a subterranean river flowing across its floor , or an unroofed part of a cave",,,"karst window: Depression revealing a part of a subterranean river flowing across its floor, or an unroofed part of a cave."
karst window,natural bridge,,small natural bridge or arch,can be seen through,,,karst window: A small natural bridge or arch which can be seen through.
